"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U6,U8,U3,U9,U11,U10,U2,U12,U4,U7,U5,U13";"LED_ADDR_Worldsemi_WS2812B";12;"WS2812B";;;
2;"R2,R7";"R_1206";2;"0R";;;
3;"J2";"PinHeader_01x04_P2.54mm_Vertical_THT_D1.4mm";1;"I2C Header";;;
4;"P1";"Conn_USB_A_Plain";1;"Conn_USB_A_Plain";;;
5;"C3";"C_1206";1;"100nF";;;
6;"R3";"R_1206";1;"100R";;;
7;"SW3";"Button_Omron_B3SN_6.0x6.0mm";1;"Restart";;;
8;"R6,R1";"R_1206";2;"1kR";;;
9;"D4";"LED_1206";1;"Power LED";;;
10;"SW1";"Button_Omron_B3SN_6.0x6.0mm";1;"Start/Stop";;;
11;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"ATtiny412";;;
12;"J1";"PinHeader_01x03_P2.54mm_Vertical_THT_D1.4mm";1;"UPDI Flash Header";;;
13;"J3";"Conn_USB_C_Socket_GCT_USB4125-GF-A-0190";1;"Conn_USB_C_Socket_PowerOnly";;;
14;"R5";"R_1206";1;"499R";;;
15;"SW2";"Button_Omron_B3SN_6.0x6.0mm";1;"Skip";;;
